"VS_NAZOV","FAKULTA_NAZOV","pocty_zamestnancov","publikacna_excelentnost","sum_granty","rezidua_granty","rezidua_publ"
"Univerzita Komenského v Bratislave","Prírodovedecká fakulta UK",296,2066,2663125,230144.062163001,993.585718198405
"Univerzita Komenského v Bratislave","Fakulta matematiky, fyziky a informatiky UK",174,1369,2863785,1433586.74600122,738.594307319333
"Univerzita Komenského v Bratislave","Lekárska fakulta UK",33,116,0,-271244.496448044,-3.55970033598835
"Univerzita Komenského v Bratislave","Vedecký park UK",13,36,0,-106853.892540138,-11.0992758899349
"Slovenská technická univerzita v Bratislave","Materiálovotechnologická fakulta so sídlom v Trnave",9,24,30000,-43975.7717585575,-8.60719100072422
"Slovenská technická univerzita v Bratislave","Stavebná fakulta STU v Bratislave",46,205,40640,-337458.388988182,38.3410237740763
"Slovenská technická univerzita v Bratislave","Strojnícka fakulta Slovenskej technickej univerzity v Bratislave",9,14,0,-73975.7717585575,-18.6071910007242
"Slovenská technická univerzita v Bratislave","Fakulta elektrotechniky a informatiky",22,35,542621,361791.335701304,-44.7064668906592
"Slovenská technická univerzita v Bratislave","Fakulta chemickej a potravinárskej technológie",100,874,185694,-636259.019539527,511.697877769731
"Slovenská poľnohospodárska univerzita v Nitre","Fakulta biotechnológie a potravinárstva",32,179,66800,-196224.966252649,63.063320886314
"Slovenská poľnohospodárska univerzita v Nitre","Výskumné centrum AgroBioTech",7,23,0,-57536.7113677669,-2.36114855611889
"Univerzita veterinárskeho lekárstva a farmácie v Košiciach","Predklinické pracoviská",14,0,0,-115073.422735534,-50.7222971122376
"Univerzita veterinárskeho lekárstva a farmácie v Košiciach","Pracoviská chémie a farmácie",5,0,0,-41097.6509769763,-18.1151061115134
"Univerzita veterinárskeho lekárstva a farmácie v Košiciach","Výskumné centrá a laboratóriá",5,0,0,-41097.6509769763,-18.1151061115134
"Žilinská univerzita v Žiline","Fakulta riadenia a informatiky",7,7,0,-57536.7113677669,-18.3611485561188
"Žilinská univerzita v Žiline","Stavebná fakulta",9,4,0,-73975.7717585575,-28.6071910007242
"Žilinská univerzita v Žiline","Fakulta elektrotechniky a informačných technológií",19,26,60808,-95363.0737125101,-42.837403223751
"Univerzita Pavla Jozefa Šafárika v Košiciach","Prírodovedecká fakulta",158,1078,551001,-747684.770872454,505.562646876175
"Univerzita Pavla Jozefa Šafárika v Košiciach","Celouniverzitné pracovisko UPJŠ",13,107,0,-106853.892540138,59.9007241100651
"Univerzita Mateja Bela v Banskej Bystrici","Fakulta prírodných vied",33,150,49662,-221582.496448044,30.4402996640113
"Univerzita Konštantína Filozofa v Nitre","Fakulta prírodných vied",49,19,490408,87651.0204256317,-158.528039892832
"Prešovská univerzita v Prešove","Fakulta humanitných a prírodných vied",36,125,40000,-255903.08703423,-5.42876400289552
"Trenčianska univerzita Alexandra Dubčeka v Trenčíne","FunGlass - Centrum pre funkčné a povrchovo funkcionalizované sklá",41,258,3857394,3520393.26198879,109.45612988559
"Univerzita sv. Cyrila a Metoda v Trnave","Fakulta prírodných vied",35,214,19258,-268425.556838834,87.194257219406
"Katolícka univerzita v Ružomberku","Pedagogická fakulta",19,27,0,-156171.07371251,-41.8374032237511
"Univerzita J. Selyeho","Fakulta ekonómie a informatiky",10,36,0,-82195.3019539526,-0.230212223026797
