"VS_NAZOV","FAKULTA_NAZOV","pocty_zamestnancov","publikacna_excelentnost","sum_granty","rezidua_granty","rezidua_publ"
"Univerzita Komenského v Bratislave","Prírodovedecká fakulta UK",34,207,350329,187122.429525608,97.532951976179
"Univerzita Komenského v Bratislave","Fakulta matematiky, fyziky a informatiky UK",86,134,0,-412816.619435226,-142.887239119077
"Slovenská technická univerzita v Bratislave","Ústav manažmentu STU",11,16,347850,295047.874258285,-19.4158096547657
"Slovenská technická univerzita v Bratislave","Fakulta architektúry a dizajnu",70,69,1087486,751472.472552723,-156.373334166691
"Slovenská technická univerzita v Bratislave","Materiálovotechnologická fakulta so sídlom v Trnave",172,495,945543,119909.761129547,-58.7744782381537
"Slovenská technická univerzita v Bratislave","Stavebná fakulta STU v Bratislave",152,422,658974,-70655.3738855168,-67.3820970476713
"Slovenská technická univerzita v Bratislave","Strojnícka fakulta Slovenskej technickej univerzity v Bratislave",92,159,263323,-178294.778930708,-137.204953476222
"Slovenská technická univerzita v Bratislave","Fakulta elektrotechniky a informatiky",167,429,3151402,2349769.72737578,-108.676382940535
"Slovenská technická univerzita v Bratislave","Fakulta chemickej a potravinárskej technológie",129,276,575994,-43230.9291528403,-139.330858678616
"Slovenská technická univerzita v Bratislave","Fakulta informatiky a informačných technológií",41,38,184452,-12355.9232191199,-94.0043814404904
"Ekonomická univerzita v Bratislave","Fakulta hospodárskej informatiky",11,8,0,-52802.125741715,-27.4158096547657
"Slovenská poľnohospodárska univerzita v Nitre","Technická fakulta",46,111,196449,-24359.8894653538,-37.1024767381113
"Slovenská poľnohospodárska univerzita v Nitre","Fakulta európskych štúdií a regionálneho rozvoja",6,13,0,-28801.1594954809,-6.31771435714494
"Slovenská poľnohospodárska univerzita v Nitre","Výskumné centrum AgroBioTech",5,7,0,-24000.9662462341,-9.09809529762078
"Technická univerzita vo Zvolene","Drevárska fakulta",48,335,0,-230409.275963847,180.45828514284
"Technická univerzita vo Zvolene","Fakulta techniky",19,108,0,-91203.6717356896,46.827237869041
"Technická univerzita vo Zvolene","Fakulta ekológie a environmentalistiky",35,138,684741,516734.236276361,25.3133329166546
"Technická univerzita v Košiciach","Strojnícka fakulta",118,726,113314,-453108.803411126,346.084950976149
"Technická univerzita v Košiciach","Fakulta výrobných technológií",65,512,26180,-285832.561201043,302.72476113093
"Technická univerzita v Košiciach","Fakulta baníctva, ekológie, riadenia a geotechnológií",80,696,1315840,931824.540060255,438.430475238068
"Technická univerzita v Košiciach","Stavebná fakulta",61,309,256981,-35830.7882040559,112.603237369026
"Technická univerzita v Košiciach","Letecká fakulta",49,192,0,-235209.469213094,34.2386660833163
"Technická univerzita v Košiciach","Fakulta materiálov, metalurgie a recyklácie",56,211,192274,-76536.8219578221,30.701332666647
"Technická univerzita v Košiciach","Fakulta elektrotechniky a informatiky",131,593,191416,-437409.315651333,171.229903202336
"Technická univerzita v Košiciach","Fakulta umení",12,1,0,-57602.3189909618,-37.6354287142899
"Žilinská univerzita v Žiline","Fakulta riadenia a informatiky",60,116,390132,102120.405045191,-77.1771435714493
"Žilinská univerzita v Žiline","Strojnícka fakulta",120,446,0,-576023.189909618,59.6457128571013
"Žilinská univerzita v Žiline","Fakulta prevádzky a ekonomiky dopravy a spojov",74,329,210000,-145214.300444265,90.7481895952122
"Žilinská univerzita v Žiline","Stavebná fakulta",61,168,222160,-70651.7882040559,-28.3967626309735
"Žilinská univerzita v Žiline","Fakulta elektrotechniky a informačných technológií",84,272,5466,-397750.232936733,1.55199899996904
"Žilinská univerzita v Žiline","Univerzitný vedecký park UNIZA",23,0,0,-110404.444732677,-74.0512383690556
"Žilinská univerzita v Žiline","Celouniverzitné pracoviská ŽU ",20,0,0,-96003.8649849364,-64.3923811904831
"Žilinská univerzita v Žiline","Výskumné centrum UNIZA",27,0,271128,141522.782270336,-86.9297146071522
"Univerzita Pavla Jozefa Šafárika v Košiciach","Prírodovedecká fakulta",25,189,85800,-34204.8312311706,108.509523511896
"Univerzita Mateja Bela v Banskej Bystrici","Fakulta prírodných vied",34,113,0,-163206.570474392,3.53295197617828
"Univerzita Konštantína Filozofa v Nitre","Fakulta prírodných vied",27,3,216798,87192.7822703358,-83.9297146071522
"Prešovská univerzita v Prešove","Fakulta humanitných a prírodných vied",16,125,0,-76803.0919879492,73.4860950476135
"Trenčianska univerzita Alexandra Dubčeka v Trenčíne","Fakulta špeciálnej techniky",20,46,0,-96003.8649849364,-18.3923811904831
"Trenčianska univerzita Alexandra Dubčeka v Trenčíne","Fakulta priemyselných technológií v Púchove",24,70,0,-115204.637981924,-7.27085742857986
"Univerzita sv. Cyrila a Metoda v Trnave","Fakulta prírodných vied",16,15,0,-76803.0919879492,-36.5139049523865
"Katolícka univerzita v Ružomberku","Pedagogická fakulta",6,9,0,-28801.1594954809,-10.3177143571449
"Univerzita J. Selyeho","Fakulta ekonómie a informatiky",14,81,29954,-37248.7054894555,35.9253331666618
