VS_NAZOV,FAKULTA_NAZOV,pocty_zamestnancov,publikacna_excelentnost,sum_granty
Slovenská poľnohospodárska univerzita v Nitre,Technická fakulta,29,84.0,303664.0
Slovenská poľnohospodárska univerzita v Nitre,Fakulta biotechnológie a potravinárstva,41,415.0,137741.0
Slovenská poľnohospodárska univerzita v Nitre,Fakulta agrobiológie a potravinových zdrojov,91,827.0,95896.0
Slovenská poľnohospodárska univerzita v Nitre,Fakulta záhradníctva a krajinného inžinierstva,40,237.0,219154.0
Slovenská poľnohospodárska univerzita v Nitre,Výskumné centrum AgroBioTech,15,80.0,87114.0
Technická univerzita vo Zvolene,Lesnícka fakulta,75,354.0,315522.0
Univerzita veterinárskeho lekárstva a farmácie v Košiciach,Predklinické pracoviská,46,0.0,0.0
Univerzita veterinárskeho lekárstva a farmácie v Košiciach,Pracoviská chémie a farmácie,17,0.0,0.0
Univerzita veterinárskeho lekárstva a farmácie v Košiciach,"Pracoviská hygieny potravín, chovu zvierat a životného prostredia",46,0.0,0.0
Univerzita veterinárskeho lekárstva a farmácie v Košiciach,Univerzitná veterinárna nemocnica,52,131.0,0.0
Univerzita veterinárskeho lekárstva a farmácie v Košiciach,Výskumné centrá a laboratóriá,6,0.0,0.0
