"VS_NAZOV","FAKULTA_NAZOV","pocty_zamestnancov","publikacna_excelentnost","sum_granty","rezidua_granty","rezidua_publ"
"Univerzita Komenského v Bratislave","Jesseniova lekárska fakulta UK",224,1333,248278,-593029.266069388,791.254782069107
"Univerzita Komenského v Bratislave","Lekárska fakulta UK",452,1932,0,-1697637.87617573,838.835542389447
"Univerzita Komenského v Bratislave","Farmaceutická fakulta UK",97,309,866540,502223.90710388,74.4049725924259
"Univerzita veterinárskeho lekárstva a farmácie v Košiciach","Predklinické pracoviská",10,0,0,-37558.3600923834,-24.1850543719149
"Univerzita veterinárskeho lekárstva a farmácie v Košiciach","Pracoviská chémie a farmácie",25,0,0,-93895.9002309587,-60.4626359297872
"Univerzita Pavla Jozefa Šafárika v Košiciach","Lekárska fakulta, Košice",315,0,439240,-743848.342910079,-761.829212715319
"Trnavská univerzita v Trnave","Fakulta zdravotníctva a sociálnej práce",46,128,1711292,1538523.54357504,16.7487498891916
"Univerzita Konštantína Filozofa v Nitre","Fakulta sociálnych vied a zdravotníctva",17,49,21908,-41941.2121570519,7.88540756774474
"Prešovská univerzita v Prešove","Fakulta zdravotníckych odborov",74,154,0,-277931.864683638,-24.9694023521701
"Trenčianska univerzita Alexandra Dubčeka v Trenčíne","Fakulta zdravotníctva",28,95,0,-105163.408258674,27.2818477586383
"Univerzita sv. Cyrila a Metoda v Trnave","Fakulta zdravotníckych vied",27,66,0,-101407.572249435,0.700353195828257
"Katolícka univerzita v Ružomberku","Fakulta zdravotníctva",41,78,0,-153989.276378772,-21.1587229248508
