VS_NAZOV,FAKULTA_NAZOV,pocty_zamestnancov,publikacna_excelentnost,sum_granty
Univerzita Komenského v Bratislave,Prírodovedecká fakulta UK,34,207.0,350329.0
Univerzita Komenského v Bratislave,"Fakulta matematiky, fyziky a informatiky UK",86,134.0,0.0
Slovenská technická univerzita v Bratislave,Ústav manažmentu STU,11,16.0,347850.0
Slovenská technická univerzita v Bratislave,Fakulta architektúry a dizajnu,70,69.0,1087486.0
Slovenská technická univerzita v Bratislave,Materiálovotechnologická fakulta so sídlom v Trnave,172,495.0,945543.0
Slovenská technická univerzita v Bratislave,Stavebná fakulta STU v Bratislave,152,422.0,658974.0
Slovenská technická univerzita v Bratislave,Strojnícka fakulta Slovenskej technickej univerzity v Bratislave,92,159.0,263323.0
Slovenská technická univerzita v Bratislave,Fakulta elektrotechniky a informatiky,167,429.0,3151402.0
Slovenská technická univerzita v Bratislave,Fakulta chemickej a potravinárskej technológie,129,276.0,575994.0
Slovenská technická univerzita v Bratislave,Fakulta informatiky a informačných technológií,41,38.0,184452.0
Ekonomická univerzita v Bratislave,Fakulta hospodárskej informatiky,11,8.0,0.0
Slovenská poľnohospodárska univerzita v Nitre,Technická fakulta,46,111.0,196449.0
Slovenská poľnohospodárska univerzita v Nitre,Fakulta európskych štúdií a regionálneho rozvoja,6,13.0,0.0
Slovenská poľnohospodárska univerzita v Nitre,Výskumné centrum AgroBioTech,5,7.0,0.0
Technická univerzita vo Zvolene,Drevárska fakulta,48,335.0,0.0
Technická univerzita vo Zvolene,Fakulta techniky,19,108.0,0.0
Technická univerzita vo Zvolene,Fakulta ekológie a environmentalistiky,35,138.0,684741.0
Technická univerzita v Košiciach,Strojnícka fakulta,118,726.0,113314.0
Technická univerzita v Košiciach,Fakulta výrobných technológií,65,512.0,26180.0
Technická univerzita v Košiciach,"Fakulta baníctva, ekológie, riadenia a geotechnológií",80,696.0,1315840.0
Technická univerzita v Košiciach,Stavebná fakulta,61,309.0,256981.0
Technická univerzita v Košiciach,Letecká fakulta,49,192.0,0.0
Technická univerzita v Košiciach,"Fakulta materiálov, metalurgie a recyklácie",56,211.0,192274.0
Technická univerzita v Košiciach,Fakulta elektrotechniky a informatiky,131,593.0,191416.0
Technická univerzita v Košiciach,Fakulta umení,12,1.0,0.0
Žilinská univerzita v Žiline,Fakulta riadenia a informatiky,60,116.0,390132.0
Žilinská univerzita v Žiline,Strojnícka fakulta,120,446.0,0.0
Žilinská univerzita v Žiline,Fakulta prevádzky a ekonomiky dopravy a spojov,74,329.0,210000.0
Žilinská univerzita v Žiline,Stavebná fakulta,61,168.0,222160.0
Žilinská univerzita v Žiline,Fakulta elektrotechniky a informačných technológií,84,272.0,5466.0
Žilinská univerzita v Žiline,Univerzitný vedecký park UNIZA,23,0.0,0.0
Žilinská univerzita v Žiline,Celouniverzitné pracoviská ŽU ,20,0.0,0.0
Žilinská univerzita v Žiline,Výskumné centrum UNIZA,27,0.0,271128.0
Univerzita Pavla Jozefa Šafárika v Košiciach,Prírodovedecká fakulta,25,189.0,85800.0
Univerzita Mateja Bela v Banskej Bystrici,Fakulta prírodných vied,34,113.0,0.0
Univerzita Konštantína Filozofa v Nitre,Fakulta prírodných vied,27,3.0,216798.0
Prešovská univerzita v Prešove,Fakulta humanitných a prírodných vied,16,125.0,0.0
Trenčianska univerzita Alexandra Dubčeka v Trenčíne,Fakulta špeciálnej techniky,20,46.0,0.0
Trenčianska univerzita Alexandra Dubčeka v Trenčíne,Fakulta priemyselných technológií v Púchove,24,70.0,0.0
Univerzita sv. Cyrila a Metoda v Trnave,Fakulta prírodných vied,16,15.0,0.0
Katolícka univerzita v Ružomberku,Pedagogická fakulta,6,9.0,0.0
Univerzita J. Selyeho,Fakulta ekonómie a informatiky,14,81.0,29954.0
