VS_NAZOV,FAKULTA_NAZOV,pocty_zamestnancov,publikacna_excelentnost,sum_granty
Univerzita Komenského v Bratislave,Prírodovedecká fakulta UK,296,2066.0,2663125.0
Univerzita Komenského v Bratislave,"Fakulta matematiky, fyziky a informatiky UK",174,1369.0,2863785.0
Univerzita Komenského v Bratislave,Lekárska fakulta UK,33,116.0,0.0
Univerzita Komenského v Bratislave,Vedecký park UK,13,36.0,0.0
Slovenská technická univerzita v Bratislave,Materiálovotechnologická fakulta so sídlom v Trnave,9,24.0,30000.0
Slovenská technická univerzita v Bratislave,Stavebná fakulta STU v Bratislave,46,205.0,40640.0
Slovenská technická univerzita v Bratislave,Strojnícka fakulta Slovenskej technickej univerzity v Bratislave,9,14.0,0.0
Slovenská technická univerzita v Bratislave,Fakulta elektrotechniky a informatiky,22,35.0,542621.0
Slovenská technická univerzita v Bratislave,Fakulta chemickej a potravinárskej technológie,100,874.0,185694.0
Slovenská poľnohospodárska univerzita v Nitre,Fakulta biotechnológie a potravinárstva,32,179.0,66800.0
Slovenská poľnohospodárska univerzita v Nitre,Výskumné centrum AgroBioTech,7,23.0,0.0
Univerzita veterinárskeho lekárstva a farmácie v Košiciach,Predklinické pracoviská,14,0.0,0.0
Univerzita veterinárskeho lekárstva a farmácie v Košiciach,Pracoviská chémie a farmácie,5,0.0,0.0
Univerzita veterinárskeho lekárstva a farmácie v Košiciach,Výskumné centrá a laboratóriá,5,0.0,0.0
Žilinská univerzita v Žiline,Fakulta riadenia a informatiky,7,7.0,0.0
Žilinská univerzita v Žiline,Stavebná fakulta,9,4.0,0.0
Žilinská univerzita v Žiline,Fakulta elektrotechniky a informačných technológií,19,26.0,60808.0
Univerzita Pavla Jozefa Šafárika v Košiciach,Prírodovedecká fakulta,158,1078.0,551001.0
Univerzita Pavla Jozefa Šafárika v Košiciach,Celouniverzitné pracovisko UPJŠ,13,107.0,0.0
Univerzita Mateja Bela v Banskej Bystrici,Fakulta prírodných vied,33,150.0,49662.0
Univerzita Konštantína Filozofa v Nitre,Fakulta prírodných vied,49,19.0,490408.0
Prešovská univerzita v Prešove,Fakulta humanitných a prírodných vied,36,125.0,40000.0
Trenčianska univerzita Alexandra Dubčeka v Trenčíne,FunGlass - Centrum pre funkčné a povrchovo funkcionalizované sklá,41,258.0,3857394.0
Univerzita sv. Cyrila a Metoda v Trnave,Fakulta prírodných vied,35,214.0,19258.0
Katolícka univerzita v Ružomberku,Pedagogická fakulta,19,27.0,0.0
Univerzita J. Selyeho,Fakulta ekonómie a informatiky,10,36.0,0.0
