"VS_NAZOV","FAKULTA_NAZOV","pocty_zamestnancov","publikacna_excelentnost","sum_granty","rezidua_granty","rezidua_publ"
"Slovenská poľnohospodárska univerzita v Nitre","Technická fakulta",29,84,303664,230063.569480134,-22.5979546834264
"Slovenská poľnohospodárska univerzita v Nitre","Fakulta biotechnológie a potravinárstva",41,415,137741,33685.2189201896,264.29254682688
"Slovenská poľnohospodárska univerzita v Nitre","Fakulta agrobiológie a potravinových zdrojov",91,827,95896,-135057.075079579,492.50296978649
"Slovenská poľnohospodárska univerzita v Nitre","Fakulta záhradníctva a krajinného inžinierstva",40,237,219154,117636.164800185,89.9683383676878
"Slovenská poľnohospodárska univerzita v Nitre","Výskumné centrum AgroBioTech",15,80,87114,49044.8118000694,24.8631268878829
"Technická univerzita vo Zvolene","Lesnícka fakulta",75,354,315522,125176.059000347,78.3156344394141
"Univerzita veterinárskeho lekárstva a farmácie v Košiciach","Predklinické pracoviská",46,0,0,-116745.510479787,-169.086410877159
"Univerzita veterinárskeho lekárstva a farmácie v Košiciach","Pracoviská chémie a farmácie",17,0,0,-43145.0799599214,-62.4884561937327
"Univerzita veterinárskeho lekárstva a farmácie v Košiciach","Pracoviská hygieny potravín, chovu zvierat a životného prostredia",46,0,0,-116745.510479787,-169.086410877159
"Univerzita veterinárskeho lekárstva a farmácie v Košiciach","Univerzitná veterinárna nemocnica",52,131,0,-131973.18575976,-60.1411601220061
"Univerzita veterinárskeho lekárstva a farmácie v Košiciach","Výskumné centrá a laboratóriá",6,0,0,-15227.6752799723,-22.0547492448468
