"VS_NAZOV","FAKULTA_NAZOV","pocty_zamestnancov","publikacna_excelentnost","sum_granty","rezidua_granty","rezidua_publ"
"Univerzita Komenského v Bratislave","Pedagogická fakulta UK",9,16.6,0,-2902.25801392727,8.29657045423022
"Univerzita Komenského v Bratislave","Filozofická fakulta UK",183,246.6,380428,321415.420383479,77.7635992360144
"Univerzita Komenského v Bratislave","Jesseniova lekárska fakulta UK",6,2,0,-1934.83867595151,-3.53561969717985
"Univerzita Komenského v Bratislave","Fakulta matematiky, fyziky a informatiky UK",8,0,0,-2579.78490126868,-7.38082626290647
"Univerzita Komenského v Bratislave","Lekárska fakulta UK",16,0,0,-5159.56980253736,-14.7616525258129
"Univerzita Komenského v Bratislave","Evanjelická bohoslovecká fakulta UK",12,10.8,0,-3869.67735190302,-0.271239394359709
"Univerzita Komenského v Bratislave","Rímskokatolícka cyrilometodská bohoslovecká fakulta UK",16,10,0,-5159.56980253736,-4.76165252581291
"Slovenská technická univerzita v Bratislave","Fakulta architektúry a dizajnu",27,4.4,0,-8706.77404178179,-20.5102886373093
"Slovenská technická univerzita v Bratislave","Stavebná fakulta STU v Bratislave",12,0,0,-3869.67735190302,-11.0712393943597
"Ekonomická univerzita v Bratislave","Fakulta aplikovaných jazykov",57,26.8,0,-18380.9674215393,-25.7883871232086
"Slovenská poľnohospodárska univerzita v Nitre","Centrum jazykov SPU",9,0,0,-2902.25801392727,-8.30342954576978
"Technická univerzita vo Zvolene","Ústav cudzích jazykov",9,3.4,0,-2902.25801392727,-4.90342954576981
"Technická univerzita vo Zvolene","Drevárska fakulta",12,2.2,0,-3869.67735190302,-8.87123939435971
"Vysoká škola výtvarných umení v Bratislave","Pracoviská VŠVU",116,3.2,0,-37406.8810683959,-103.821980812144
"Vysoká škola múzických umení v Bratislave","Hudobná a tanečná fakulta VŠMU",52,0,18556,1787.39814175359,-47.9753707088921
"Vysoká škola múzických umení v Bratislave","Divadelná fakulta VŠMU",44,0,0,-14188.8169569777,-40.5945444459856
"Vysoká škola múzických umení v Bratislave","Filmová a televízna fakulta VŠMU",35,0,0,-11286.5589430505,-32.2911149002158
"Technická univerzita v Košiciach","Fakulta umení",28,0,37420,28390.7528455596,-25.8328919201727
"Žilinská univerzita v Žiline","Fakulta humanitných vied",14,33,0,-4514.62357722019,20.0835540399137
"Univerzita Pavla Jozefa Šafárika v Košiciach","Filozofická fakulta",77,64.8,0,-24830.429674711,-6.2404527804748
"Trnavská univerzita v Trnave","Filozofická fakulta",32,46.2,0,-10319.1396050747,16.6766949483741
"Trnavská univerzita v Trnave","Teologická fakulta",19,39,0,-6126.98914051311,21.4705376255971
"Univerzita Mateja Bela v Banskej Bystrici","Filozofická fakulta",96,66.2,105450,74492.5811847759,-22.3699151548776
"Univerzita Mateja Bela v Banskej Bystrici","Pedagogická fakulta",18,7.4,8312,2507.48397214547,-9.20685909153956
"Univerzita Konštantína Filozofa v Nitre","Pedagogická fakulta UKF",8,8,0,-2579.78490126868,0.619173737093525
"Univerzita Konštantína Filozofa v Nitre","Filozofická fakulta",164,169.6,0,-52885.590476008,18.2930616104173
"Univerzita Konštantína Filozofa v Nitre","Fakulta stredoeurópskych štúdií",18,32.2,0,-5804.51602785453,15.5931409084604
"Prešovská univerzita v Prešove","Filozofická fakulta",86,136.8,0,-27732.6876886383,57.4561176737555
"Prešovská univerzita v Prešove","Gréckokatolícka teologická fakulta",17,30.6,0,-5482.04291519594,14.9157441913238
"Prešovská univerzita v Prešove","Pravoslávna bohoslovecká fakulta",10,21,0,-3224.73112658585,11.7739671713669
"Prešovská univerzita v Prešove","Centrum jazykov a kultúr národnostných menšín",15,3.8,0,-4837.09668987877,-10.0390492429496
"Akadémia umení","Fakulta výtvarných umení",32,0,0,-10319.1396050747,-29.5233050516259
"Akadémia umení","Fakulta dramatických umení",33,2.8,0,-10641.6127177333,-27.6459083344892
"Akadémia umení","Fakulta múzických umení",49,4.6,0,-15801.1825202707,-40.6075608603021
"Univerzita sv. Cyrila a Metoda v Trnave","Filozofická fakulta",65,83.4,0,-20960.752322808,23.4307866138849
"Katolícka univerzita v Ružomberku","Pedagogická fakulta",25,11.2,0,-8061.82781646462,-11.8650820715827
"Katolícka univerzita v Ružomberku","Teologická fakulta",21,19.2,76800,70028.0646341697,-0.174668940129493
"Katolícka univerzita v Ružomberku","Filozofická fakulta",7,43,5604,3346.68821138991,36.5417770199568
"Univerzita J. Selyeho","Pedagogická fakulta",9,29.8,0,-2902.25801392727,21.4965704542302
"Univerzita J. Selyeho","Reformovaná teologická fakulta",11,18,0,-3547.20423924443,7.8513638885036
