VS_NAZOV,FAKULTA_NAZOV,pocty_zamestnancov,publikacna_excelentnost,sum_granty
Univerzita Komenského v Bratislave,Pedagogická fakulta UK,9,16.6,0.0
Univerzita Komenského v Bratislave,Filozofická fakulta UK,183,246.6,380428.0
Univerzita Komenského v Bratislave,Jesseniova lekárska fakulta UK,6,2.0,0.0
Univerzita Komenského v Bratislave,"Fakulta matematiky, fyziky a informatiky UK",8,0.0,0.0
Univerzita Komenského v Bratislave,Lekárska fakulta UK,16,0.0,0.0
Univerzita Komenského v Bratislave,Evanjelická bohoslovecká fakulta UK,12,10.8,0.0
Univerzita Komenského v Bratislave,Rímskokatolícka cyrilometodská bohoslovecká fakulta UK,16,10.0,0.0
Slovenská technická univerzita v Bratislave,Fakulta architektúry a dizajnu,27,4.3999999999999995,0.0
Slovenská technická univerzita v Bratislave,Stavebná fakulta STU v Bratislave,12,0.0,0.0
Ekonomická univerzita v Bratislave,Fakulta aplikovaných jazykov,57,26.8,0.0
Slovenská poľnohospodárska univerzita v Nitre,Centrum jazykov SPU,9,0.0,0.0
Technická univerzita vo Zvolene,Ústav cudzích jazykov,9,3.4,0.0
Technická univerzita vo Zvolene,Drevárska fakulta,12,2.1999999999999997,0.0
Vysoká škola výtvarných umení v Bratislave,Pracoviská VŠVU,116,3.2,0.0
Vysoká škola múzických umení v Bratislave,Hudobná a tanečná fakulta VŠMU,52,0.0,18556.0
Vysoká škola múzických umení v Bratislave,Divadelná fakulta VŠMU,44,0.0,0.0
Vysoká škola múzických umení v Bratislave,Filmová a televízna fakulta VŠMU,35,0.0,0.0
Technická univerzita v Košiciach,Fakulta umení,28,0.0,37420.0
Žilinská univerzita v Žiline,Fakulta humanitných vied,14,33.0,0.0
Univerzita Pavla Jozefa Šafárika v Košiciach,Filozofická fakulta,77,64.8,0.0
Trnavská univerzita v Trnave,Filozofická fakulta,32,46.2,0.0
Trnavská univerzita v Trnave,Teologická fakulta,19,39.0,0.0
Univerzita Mateja Bela v Banskej Bystrici,Filozofická fakulta,96,66.19999999999999,105450.0
Univerzita Mateja Bela v Banskej Bystrici,Pedagogická fakulta,18,7.3999999999999995,8312.0
Univerzita Konštantína Filozofa v Nitre,Pedagogická fakulta UKF,8,8.0,0.0
Univerzita Konštantína Filozofa v Nitre,Filozofická fakulta,164,169.6,0.0
Univerzita Konštantína Filozofa v Nitre,Fakulta stredoeurópskych štúdií,18,32.199999999999996,0.0
Prešovská univerzita v Prešove,Filozofická fakulta,86,136.8,0.0
Prešovská univerzita v Prešove,Gréckokatolícka teologická fakulta,17,30.6,0.0
Prešovská univerzita v Prešove,Pravoslávna bohoslovecká fakulta,10,21.0,0.0
Prešovská univerzita v Prešove,Centrum jazykov a kultúr národnostných menšín,15,3.8,0.0
Akadémia umení,Fakulta výtvarných umení,32,0.0,0.0
Akadémia umení,Fakulta dramatických umení,33,2.8,0.0
Akadémia umení,Fakulta múzických umení,49,4.6000000000000005,0.0
Univerzita sv. Cyrila a Metoda v Trnave,Filozofická fakulta,65,83.39999999999999,0.0
Katolícka univerzita v Ružomberku,Pedagogická fakulta,25,11.200000000000001,0.0
Katolícka univerzita v Ružomberku,Teologická fakulta,21,19.2,76800.0
Katolícka univerzita v Ružomberku,Filozofická fakulta,7,43.0,5604.0
Univerzita J. Selyeho,Pedagogická fakulta,9,29.799999999999997,0.0
Univerzita J. Selyeho,Reformovaná teologická fakulta,11,18.0,0.0
